City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ushuaia,-54.8,-68.3,38.82,64,20,6.91,AR,1658868434
Arraial do Cabo,-22.9661,-42.0278,73.36,78,0,14.97,BR,1658868253
Orlik,52.5178,99.825,42.64,84,68,0.72,RU,1658868434
Mataura,-46.1927,168.8643,44.47,97,100,7.02,NZ,1658868435
Chapada dos Guimarães,-15.4606,-55.7497,87.46,22,5,2.98,BR,1658868435
Esperance,-33.8667,121.9,56.79,80,100,5.64,AU,1658868435
Barrow,71.2906,-156.7887,35.62,93,100,17.27,US,1658868436
Rio Grande,-32.035,-52.0986,68.11,93,67,9.24,BR,1658868290
Tezu,27.9167,96.1667,73.62,94,79,3.11,IN,1658868436
Rikitea,-23.1203,-134.9692,75.34,74,83,12.82,PF,1658868437
Dikson,73.5069,80.5464,44.08,96,100,28.14,RU,1658868139
Batagay-Alyta,67.8006,130.4114,67.66,63,95,1.43,RU,1658868437
Batemans Bay,-35.7167,150.1833,50.09,68,17,6.93,AU,1658868437
Bagotville,-28.9833,153.4167,49.86,65,0,9.37,AU,1658868438
Tigil',57.8,158.6667,57.25,54,96,7.99,RU,1658868438
Valleyview,55.0667,-117.2859,78.84,38,43,6.91,CA,1658868438
Hasaki,35.7333,140.8333,79.29,89,98,15.82,JP,1658868294
Airai,-8.9266,125.4092,53.08,70,85,4.12,TL,1658868171
Punta Arenas,-53.15,-70.9167,37.51,65,0,10.36,CL,1658868146
Acarí,-15.4311,-74.6158,68.09,66,52,7.11,PE,1658868439
Dzaoudzi,-12.7887,45.2699,73.29,78,0,9.22,YT,1658868439
Port Alfred,-33.5906,26.891,65.62,48,16,5.77,ZA,1658868440
Genoa,44.4129,8.9573,81.82,79,40,13.8,IT,1658868415
Pompéu,-19.2244,-44.9353,69.66,37,0,1.77,BR,1658868278
San Cristobal,7.7669,-72.225,78.98,62,36,5.01,VE,1658868315
Qaanaaq,77.484,-69.3632,44.02,64,23,4.25,GL,1658868440
Talnakh,69.4865,88.3972,52.21,72,11,4.83,RU,1658868388
Nemuro,43.3236,145.575,63.66,96,99,3.47,JP,1658868441
Şile,41.1754,29.6133,72.27,68,0,10.4,TR,1658868441
Saldanha,-33.0117,17.9442,55.45,88,15,6.2,ZA,1658868441
Lompoc,34.6391,-120.4579,90.01,65,0,12.66,US,1658868442
Tuktoyaktuk,69.4541,-133.0374,62.6,67,100,23.02,CA,1658868442
Lorengau,-2.0226,147.2712,81.23,80,87,8.08,PG,1658868393
Hithadhoo,-0.6,73.0833,80.83,75,100,13.58,MV,1658868165
Luena,-11.7833,19.9167,55.44,36,1,4.47,AO,1658868443
Alihe,50.5667,123.7167,65.32,99,96,2.73,CN,1658868443
Tasiilaq,65.6145,-37.6368,41.16,93,100,0.72,GL,1658868443
Avarua,-21.2078,-159.775,73.45,64,75,11.5,CK,1658868274
Ust-Kuyga,70.0167,135.6,67.12,65,70,0.18,RU,1658868444
Mehamn,71.0357,27.8492,58.95,88,0,0,NO,1658868444
Chokurdakh,70.6333,147.9167,48.02,57,99,12.03,RU,1658868444
Hilo,19.7297,-155.09,87.28,96,75,9.22,US,1658868185
Kosh-Agach,50,88.6667,45.55,74,1,3.76,RU,1658868256
Thompson,55.7435,-97.8558,59.16,88,75,8.05,CA,1658868445
Lebu,-37.6167,-73.65,53.22,79,3,17.05,CL,1658868445
Yar-Sale,66.8333,70.8333,48.15,89,100,8.28,RU,1658868270
Chui,-33.6971,-53.4616,59.63,96,92,6.06,UY,1658868446
Kaseda-shirakame,31.4167,130.3167,79.16,81,1,3.56,JP,1658868446
Srednekolymsk,67.45,153.6833,44.44,65,92,15.03,RU,1658868446
Khatanga,71.9667,102.5,67.41,55,81,8.86,RU,1658868447
Paamiut,61.994,-49.6678,42.8,91,13,19.3,GL,1658868240
Jamestown,42.097,-79.2353,78.94,52,100,10.36,US,1658868406
Hermanus,-34.4187,19.2345,47.8,88,87,6.58,ZA,1658868266
Biak,-0.9131,122.8766,75.07,90,90,6.51,ID,1658868447
Albany,42.6001,-73.9662,78.06,51,100,9.1,US,1658868335
Alta,69.9689,23.2717,61.2,83,75,2.3,NO,1658868448
Koshurnikovo,54.1667,93.3,45.03,99,30,1.39,RU,1658868448
Ciudad Bolivar,8.1222,-63.5497,89.31,46,69,1.68,VE,1658868454
Catuday,16.2923,119.8062,79.9,79,100,6.24,PH,1658868263
Coquimbo,-29.9533,-71.3436,58.73,77,0,10.36,CL,1658868454
Port Elizabeth,-33.918,25.5701,58.32,80,0,5.75,ZA,1658868362
Ngunguru,-35.6167,174.5,55.69,76,23,13.8,NZ,1658868455
Sept-Îles,50.2001,-66.3821,73.83,46,75,14.97,CA,1658868399
Kieta,-6.2167,155.6333,79.23,82,100,1.81,PG,1658868455
Zomin,39.9606,68.3958,81.79,22,0,7.85,UZ,1658868455
Touros,-5.1989,-35.4608,76.42,78,42,13.51,BR,1658868456
Saint Paul Harbor,57.79,-152.4072,54.91,62,0,0,US,1658868261
Córdoba,-31.4135,-64.1811,65.25,82,100,6.91,AR,1658868456
Irati,-25.4672,-50.6511,62.44,73,0,1.97,BR,1658868456
Nantucket,41.2835,-70.0995,80.01,71,20,8.05,US,1658868457
Shwebo,22.5667,95.7,83.62,67,88,4.03,MM,1658868457
Belmonte,-15.8631,-38.8828,71.83,75,7,9.28,BR,1658868457
Jiaocheng,24.6774,116.1389,74.59,88,40,1.57,CN,1658868458
Longyearbyen,78.2186,15.6401,48.04,81,75,5.75,SJ,1658868458
Bluff,-46.6,168.3333,44.8,89,100,22.62,NZ,1658868458
Busselton,-33.65,115.3333,48.51,85,0,6.89,AU,1658868459
Bethel,41.3712,-73.414,83.35,48,0,11.5,US,1658868269
São Félix do Xingu,-6.6447,-51.995,86.83,39,72,3.18,BR,1658868459
Pevek,69.7008,170.3133,34.47,83,80,6.98,RU,1658868261
Gannan,47.9147,123.5031,67.96,98,95,4.94,CN,1658868460
Luwuk,-0.9516,122.7875,76.32,92,91,4.94,ID,1658868460
Qaraçala,39.8132,48.9523,74.88,65,0,4.94,AZ,1658868460
Kargasok,59.0556,80.8572,59.41,91,23,8.7,RU,1658868461
Carnarvon,-24.8667,113.6333,62.2,46,0,9.1,AU,1658868461
Catumbela,-12.4314,13.5472,68.68,87,60,1.43,AO,1658868461
Pisco,-13.7,-76.2167,64.45,77,85,8.05,PE,1658868462
Vaini,-21.2,-175.2,73.74,70,100,12.8,TO,1658868462
Mumford,5.2618,-0.759,74.3,92,100,15.08,GH,1658868462
Upernavik,72.7868,-56.1549,38.55,89,88,11.34,GL,1658868463
Carutapera,-1.195,-46.02,78.85,81,97,8.16,BR,1658868463
Natá,8.3333,-80.5167,84.07,74,96,5.53,PA,1658868463
Bredasdorp,-34.5322,20.0403,50.79,93,99,5.84,ZA,1658868464
Bambous Virieux,-20.3428,57.7575,69.22,88,40,6.91,MU,1658868464
Lithakia,37.7167,20.8333,81.68,74,0,2.3,GR,1658868464
Grindavik,63.8424,-22.4338,54.07,100,100,16.11,IS,1658868307
Port Lincoln,-34.7333,135.8667,51.35,78,100,11.52,AU,1658868246
Kathu,7.9178,98.3332,86.7,99,92,5.12,TH,1658868465
Yangi Marg`ilon,40.4272,71.7189,84.92,32,5,2.3,UZ,1658868273
Ancud,-41.8697,-73.8203,52.23,91,90,9.33,CL,1658868268
Nikolskoye,59.7035,30.7861,66.09,84,92,5.57,RU,1658868466
Sur,22.5667,59.5289,81.09,79,51,18.1,OM,1658868466
New Norfolk,-42.7826,147.0587,43.92,85,77,2.8,AU,1658868466
Cockburn Town,21.4612,-71.1419,82.65,78,3,18.66,TC,1658868466
Lere,10.387,8.5726,71.01,95,100,5.46,NG,1658868467
Erdenet,49.0333,104.0833,49.17,91,100,3.06,MN,1658868467
Anadyr,64.75,177.4833,48.7,81,75,13.42,RU,1658868467
Sarankhola,22.3082,89.7897,79.02,90,92,1.28,BD,1658868468
Patiya,22.2931,91.9762,75.97,93,51,2.66,BD,1658868468
East London,-33.0153,27.9116,63.7,51,18,7.63,ZA,1658868407
Tura,25.5198,90.2201,72.14,90,53,2.91,IN,1658868341
Mossamedes,-15.1961,12.1522,63.9,79,81,2.93,AO,1658868469
Capaci,38.1711,13.2393,83.25,65,0,8.05,IT,1658868469
Ponta do Sol,32.6667,-17.1,81.23,58,4,6.93,PT,1658868469
Hong Kong,22.2855,114.1577,86.38,77,0,5.99,HK,1658868219
Vanavara,60.34,102.2797,56.05,97,100,8.75,RU,1658868475
Castro,-24.7911,-50.0119,61.75,69,0,3.67,BR,1658868475
Ceres,37.5949,-120.9577,100.8,32,0,10.36,US,1658868476
North Platte,41.1239,-100.7654,85.32,68,75,4.61,US,1658868283
Katsuura,35.1333,140.3,78.82,90,80,13.35,JP,1658868476
Saskylakh,71.9167,114.0833,67.87,80,33,5.37,RU,1658868307
Quatre Cocos,-20.2078,57.7625,69.1,83,21,11.56,MU,1658868477
Saint George,37.1041,-113.5841,92.79,40,0,8.05,US,1658868477
Singaparna,-7.3515,108.111,66.38,95,98,0.92,ID,1658868477
Yellowknife,62.456,-114.3525,72.12,46,20,6.91,CA,1658868478
Tiksi,71.6872,128.8694,51.89,80,57,1.36,RU,1658868478
Eirunepé,-6.6603,-69.8736,90.37,44,66,2.64,BR,1658868478
Tucuruí,-3.7661,-49.6725,83.28,58,35,1.41,BR,1658868479
Pianoro,44.393,11.3423,78.93,65,0,12.66,IT,1658868479
Vestmanna,62.1564,-7.1664,50.92,93,100,8.05,FO,1658868479
Sulangan,11.1373,123.7228,83.64,73,87,5.28,PH,1658868480
Hobart,-42.8794,147.3294,44.28,95,20,8.05,AU,1658868480
Butaritari,3.0707,172.7902,82.18,74,11,19.37,KI,1658868480
Kingston,17.997,-76.7936,76.15,94,75,5.75,JM,1658868471
Kavaratti,10.5669,72.642,81.18,76,100,16.22,IN,1658868481
Adrar,20.5022,-10.0711,102.52,15,86,6.13,MR,1658868481
Atuona,-9.8,-139.0333,77.07,76,9,16.84,PF,1658868481
Mahébourg,-20.4081,57.7,69.26,88,40,6.91,MU,1658868482
Cayenne,4.9333,-52.3333,84.09,19,100,9.22,GF,1658868482
Soritor,-6.1392,-77.1039,67.23,99,100,0.96,PE,1658868483
Baykit,61.67,96.37,61,97,98,3.53,RU,1658868483
Barranca,-10.75,-77.7667,64.35,75,87,11.92,PE,1658868483
Ishigaki,24.3448,124.1572,80.73,94,20,3.44,JP,1658868484
Kapaa,22.0752,-159.319,82.72,70,20,18.41,US,1658868484
Ribeira Grande,38.5167,-28.7,75.6,83,20,10.36,PT,1658868296
Vila Velha,-20.3297,-40.2925,75.15,73,20,6.91,BR,1658868484
Haines Junction,60.7522,-137.5108,67.95,45,63,17.27,CA,1658868485
Qinnan,33.2531,119.9133,75.7,94,78,5.32,CN,1658868485
Rocha,-34.4833,-54.3333,62.69,95,97,5.77,UY,1658868277
Chicama,-7.8447,-79.1469,61.34,71,100,8.68,PE,1658868485
Road Town,18.4167,-64.6167,87.89,70,20,9.22,VG,1658868286
Kaitangata,-46.2817,169.8464,45.82,96,100,13.04,NZ,1658868486
Koson,39.0375,65.585,88.12,20,0,14.81,UZ,1658868486
Manacapuru,-3.2997,-60.6206,89.31,52,26,4.25,BR,1658868487
Kautokeino,69.0125,23.0412,56.95,93,100,2.64,NO,1658868487
Narsaq,60.9167,-46.05,57.42,83,44,5.01,GL,1658868487
Khor,47.8861,134.9464,68.43,93,94,1.83,RU,1658868488
Alice Springs,-23.7,133.8833,29.75,93,0,0,AU,1658868488
Egvekinot,66.3167,-179.1667,44.4,58,82,2.04,RU,1658868488
Coffs Harbour,-30.3,153.1333,51.76,46,0,5.75,AU,1658868489
Chernyshevskiy,63.0128,112.4714,67.08,90,2,2.93,RU,1658868489
Mar del Plata,-38.0023,-57.5575,59.09,97,100,8.05,AR,1658868196
Marsá Maţrūḩ,31.3525,27.2453,80.8,78,0,9.22,EG,1658868370
Port Shepstone,-30.7414,30.455,59.27,70,5,10.29,ZA,1658868490
Samaná,19.2056,-69.3369,89.82,70,40,9.22,DO,1658868341
Ngaoundéré,7.3167,13.5833,64.6,97,100,3.83,CM,1658868490
Pangai,-19.8,-174.35,75.9,65,99,14.47,TO,1658868490
Okhotsk,59.3833,143.3,59.99,79,100,3.2,RU,1658868415
Leningradskiy,69.3833,178.4167,33.93,98,100,8.37,RU,1658868496
Baie-Saint-Paul,47.4411,-70.4986,78.98,52,68,1.01,CA,1658868497
Marzuq,14.4,46.4667,77.63,56,97,12.82,YE,1658868497
Shingū,33.7333,135.9833,77.88,93,100,0.47,JP,1658868498
Pitimbu,-7.4706,-34.8086,77.59,82,91,12.62,BR,1658868498
Kruisfontein,-34.0033,24.7314,55.89,47,40,7.45,ZA,1658868498
George Town,5.4112,100.3354,81.9,91,20,2.3,MY,1658868499
Shakawe,-18.3667,21.85,61.81,33,0,4.99,BW,1658868499
Centralia,46.7162,-122.9543,93.81,44,0,3.44,US,1658868415
El Juncal,15.45,-86.4333,84.13,77,93,3.06,HN,1658868499
Cidreira,-30.1811,-50.2056,61.56,92,34,12.53,BR,1658868500
Tabas,33.5959,56.9244,93.42,24,17,4.23,IR,1658868500
Severo-Kuril'sk,50.6789,156.125,53.65,83,96,5.88,RU,1658868500
Bathsheba,13.2167,-59.5167,86.61,77,20,19.57,BB,1658868501
Amahai,-3.3333,128.9167,77.2,88,87,9.6,ID,1658868501
Faanui,-16.4833,-151.75,77.58,74,64,10.25,PF,1658868306
Meïganga,6.5167,14.3,65.43,98,100,3.22,CM,1658868502
Mistelbach,48.57,16.5767,70.59,84,32,3.96,AT,1658868502
Scarborough,54.2797,-0.4044,54.97,82,84,1.21,GB,1658868370
Novosil',52.9739,37.0405,64.24,90,18,5.1,RU,1658868502
Salalah,17.0151,54.0924,75.29,100,100,6.91,OM,1658868495
Cape Town,-33.9258,18.4232,56.12,84,75,3.44,ZA,1658868428
Moville,42.4889,-96.0725,82.04,30,11,4.21,US,1658868398
Puerto Ayora,-0.7393,-90.3518,76.96,89,99,8.01,EC,1658868255
San Andrés,12.5847,-81.7006,86.02,74,40,10.36,CO,1658868503
Saint-Philippe,-21.3585,55.7679,65.79,84,20,9.66,RE,1658868499
Norman Wells,65.282,-126.8329,82.44,32,75,6.91,CA,1658868504
São Filipe,14.8961,-24.4956,77.81,82,88,2.86,CV,1658868504
Laguna,38.421,-121.4238,95.18,39,0,8.05,US,1658868291
Clyde River,70.4692,-68.5914,39.43,100,75,8.05,CA,1658868504
Bud,39.447,-86.1758,75.06,88,100,3.94,US,1658868505
Poum,-20.2333,164.0167,72.84,75,1,9.15,NC,1658868390
Nanortalik,60.1432,-45.2371,44.91,91,77,4.25,GL,1658868505
Cherskiy,68.75,161.3,46.42,58,5,11.36,RU,1658868505
Pochutla,15.7432,-96.4661,82.78,73,92,4.16,MX,1658868506
Caucaia,-3.7361,-38.6531,82.35,71,0,12.66,BR,1658868506
Ilulissat,69.2167,-51.1,50.02,81,75,5.75,GL,1658868506
Blackwater,-23.5833,148.8833,50.58,58,0,10.25,AU,1658868507
Nelson Bay,-32.7167,152.15,51.01,75,3,11.99,AU,1658868306
Sabha,27.0377,14.4283,85.86,14,46,8.14,LY,1658868507
Jāwad,24.6,74.85,74.55,94,91,8.52,IN,1658868508
Sistranda,63.7256,8.834,53.56,80,100,21.88,NO,1658868508
Pacific Grove,36.6177,-121.9166,74.21,78,0,13.8,US,1658868209
Portland,45.5234,-122.6762,99.86,37,0,5.01,US,1658868508
Mabopane,-25.4977,28.1007,56.66,51,0,3.67,ZA,1658868509
Nouadhibou,20.931,-17.0347,82.38,78,38,12.66,MR,1658868509
Filingué,14.3521,3.3168,92.53,43,16,22.93,NE,1658868509
Saint-Augustin,51.226,-58.6502,68.02,63,81,18.1,CA,1658868361
Santa Marta,11.2408,-74.199,84.25,79,40,5.75,CO,1658868371
Rajshahi,24.3667,88.6,78.28,88,73,5.97,BD,1658868510
Praia,14.9215,-23.5087,81.14,74,75,4.61,CV,1658868510
San Miguel de Cozumel,20.5083,-86.9458,89.01,61,83,4,MX,1658868397
College,64.8569,-147.8028,59.47,53,75,16.11,US,1658868262
Mogadishu,2.0371,45.3438,75.61,83,40,21.36,SO,1658868267
Tucumcari,35.1717,-103.725,98.44,19,0,10.36,US,1658868516
Pangnirtung,66.1451,-65.7125,44.6,87,75,6.91,CA,1658868517
Alexandria,31.2156,29.9553,78.76,73,40,5.75,EG,1658868312
Det Udom,14.906,105.0784,76.82,83,100,4.5,TH,1658868517
Wabag,-5.4781,143.7021,52.12,97,93,2.28,PG,1658868518
High Level,58.5169,-117.136,77.11,53,75,6.91,CA,1658868518
Dongsheng,39.8161,109.9776,68.09,51,100,6.44,CN,1658868400
Yaan,7.3833,8.5667,72.54,95,47,6.71,NG,1658868519
Lovozero,68.005,35.0117,57.6,95,98,6.49,RU,1658868519
Zhigansk,66.7697,123.3711,67.3,62,35,2.24,RU,1658868342
Piaçabuçu,-10.4056,-36.4344,74.37,80,98,12.71,BR,1658868519
Ulladulla,-35.35,150.4667,46.47,71,12,9.1,AU,1658868520
Moree,-29.4667,149.85,37.54,82,2,8.79,AU,1658868520
Rawson,-43.3002,-65.1023,46,93,100,8.43,AR,1658868520
Itarema,-2.9248,-39.9167,78.28,72,40,14.58,BR,1658868445
Isangel,-19.55,169.2667,74.34,86,97,12.15,VU,1658868416
Ajdabiya,30.7554,20.2263,79.74,66,0,11.05,LY,1658868521
Avera,33.194,-82.5271,94.51,32,91,8.52,US,1658868521
Cabo San Lucas,22.8909,-109.9124,95.61,55,20,11.5,MX,1658867712
Derbent,42.0678,48.2899,74.5,76,10,4.14,RU,1658868522
Ketchikan,55.3422,-131.6461,66.67,77,0,11.5,US,1658868522
Sechura,-5.5569,-80.8222,72.72,62,88,15.55,PE,1658868522
Lüshunkou,38.8,121.2667,77.22,91,28,8.61,CN,1658868523
Ape,57.5393,26.6929,62.71,98,100,4.63,LV,1658868523
Athabasca,54.7169,-113.2854,75.61,36,34,4.72,CA,1658868359
Aksarka,66.5606,67.7975,49.39,89,100,11.45,RU,1658868523
Nchelenge,-9.3451,28.734,69.46,50,75,5.35,ZM,1658868524
Anchorage,61.2181,-149.9003,61.93,55,0,14.97,US,1658868324
Kaeo,-35.1,173.7833,54.32,89,45,13.47,NZ,1658868524
Chapais,49.7834,-74.8492,56.98,82,94,13.02,CA,1658868524
Den Helder,52.9599,4.7593,60.98,66,100,8.99,NL,1658868525
Mocuba,-16.8392,36.9856,63.18,88,87,3.42,MZ,1658868525
Zhangjiakou Shi Xuanhua Qu,40.6103,115.0447,67.96,86,62,4.56,CN,1658868526
Nahariya,33.0059,35.0941,73.98,88,0,2.13,IL,1658868526
Wau,7.7029,27.9953,71.01,96,88,4.52,SS,1658868406
Barra de Tecoanapa,16.5167,-98.75,84.9,67,96,8.88,MX,1658868526
Greytown,-29.0642,30.5928,46.49,46,0,3.58,ZA,1658868527
Dekar,-21.5333,21.9333,62.15,34,25,12.5,BW,1658868527
Kabin Buri,13.9511,101.7177,76.46,93,100,0.94,TH,1658868527
Vardø,70.3705,31.1107,57.18,94,100,6.91,NO,1658868528
Lavrentiya,65.5833,-171,39.24,88,100,13.82,RU,1658868327
Phang Nga,8.4509,98.5298,78.84,94,65,2.55,TH,1658868528
Iqaluit,63.7506,-68.5145,51.53,71,20,6.91,CA,1658868528
Oranjemund,-28.55,16.4333,56.23,82,83,4.45,NA,1658868529
Victoria Point,-27.5833,153.3,51.94,72,0,10.11,AU,1658868529
Inuvik,68.3499,-133.7218,63.61,61,100,13.8,CA,1658868323
Guerrero Negro,27.9769,-114.0611,82.72,48,42,12.15,MX,1658868530
Corinth,37.9407,22.9573,83.89,53,0,4.03,GR,1658868535
Buala,-8.145,159.5921,80.37,80,90,4.65,SB,1658868536
Nome,64.5011,-165.4064,45.16,76,100,24.16,US,1658868536
